DF01 HP,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Payroll Period,07/20/2026 To 08/02/2026,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Name,Clock in date,Clock in time,Clock out date,Clock out time,Break start,Break end,Break length,Break type,Payroll ID,Role,Wage rate,Scheduled hours,Actual hours,Actual vs. scheduled,Total paid hours,Regular hours,Unpaid breaks,OT hours,Double OT,Spread of hours,Split shifts,Estimated wages,Cash tips,Credit tips,PTO,Blue law hours,FFCRA - paid sick,FFCRA - others,FFCRA - child,Holiday pay,No show reason,Employee note,Manager note
Angelica Castellanos,July 23 2026,12:15am,July 23 2026,8:28am,6:09am,6:39am,30 min,30 min - Unpaid,375,01 Overnight Baker,$24.00,7.50,7.72,0.22,7.72,7.72,0.50,0.00,0.00,0.00,0.00,$185.28,$0.00,$0.00,0.00,0.00,0.00,0.00,0.00,0.00,"","",""
Angelica Castellanos,July 24 2026,12:11am,July 24 2026,8:24am,6:09am,6:44am,35 min,30 min - Unpaid,375,01 Overnight Baker,$24.00,7.50,7.64,0.14,7.64,7.64,0.58,0.00,0.00,0.00,0.00,$183.36,$0.00,$0.00,0.00,0.00,0.00,0.00,0.00,0.00,"","",""
Angelica Castellanos,July 26 2026,12:14am,July 26 2026,8:21am,6:07am,6:37am,30 min,30 min - Unpaid,375,02 Overnight Fryer,$24.00,7.50,7.62,0.12,7.62,7.62,0.50,0.00,0.00,0.00,0.00,$182.88,$0.00,$0.00,0.00,0.00,0.00,0.00,0.00,0.00,"","",""
Angelica Castellanos,July 30 2026,12:23am,July 30 2026,8:26am,6:12am,6:45am,33 min,30 min - Unpaid,375,01 Overnight Baker,$24.00,7.50,7.50,0.00,7.50,7.50,0.55,0.00,0.00,0.00,0.00,$180.00,$0.00,$0.00,0.00,0.00,0.00,0.00,0.00,0.00,"","",""
Angelica Castellanos,July 31 2026,12:13am,July 31 2026,8:36am,6:11am,6:41am,30 min,30 min - Unpaid,375,01 Overnight Baker,$24.00,7.50,7.88,0.38,7.88,7.88,0.50,0.00,0.00,0.00,0.00,$189.12,$0.00,$0.00,0.00,0.00,0.00,0.00,0.00,0.00,"","",""
Angelica Castellanos,August 2 2026,12:15am,August 2 2026,9:49am,6:14am,6:47am,33 min,30 min - Unpaid,375,01 Overnight Baker,$24.00,7.50,9.02,1.52,9.02,8.00,0.55,1.02,0.00,0.00,0.00,$228.72,$0.00,$0.00,0.00,0.00,0.00,0.00,0.00,0.00,"","",""
Totals for Angelica Castellanos,"","","","","","","","","","","",45.00,47.38,2.38,47.38,46.36,3.18,1.02,0.00,0.00,0.00,"$1,149.36",$0.00,$0.00,0.00,0.00,0.00,0.00,0.00,0.00,"","",""
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Name,Clock in date,Clock in time,Clock out date,Clock out time,Break start,Break end,Break length,Break type,Payroll ID,Role,Wage rate,Scheduled hours,Actual hours,Actual vs. scheduled,Total paid hours,Regular hours,Unpaid breaks,OT hours,Double OT,Spread of hours,Split shifts,Estimated wages,Cash tips,Credit tips,PTO,Blue law hours,FFCRA - paid sick,FFCRA - others,FFCRA - child,Holiday pay,No show reason,Employee note,Manager note
